Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
為	59		为	wèi	act	do, handle, govern, act; be	為什麼 因為 認為	wèishénme yīnwèi rènwéi	[sound:mp3/wei4.mp3]	22	ㄨㄟ`	ㄨㄟ`ㄕㄣˊㄇㄜ˙  ㄧㄣ ㄨㄟ`  ㄖㄣ`ㄨㄟˊ	['㇔', '㇒', '㇖', '㇖', '㇆', '㇔', '㇔', '㇔', '㇔']		images-large/4e3a-large.gif
上	60		上	shàng	above	top; superior, highest; go up, send up	早上 上午 晚上	zǎoshang shàngwǔ wǎnshang	[sound:mp3/shang4.mp3]	23	ㄕㄤ`	ㄗㄠˇㄕㄤ˙  ㄕㄤ`ㄨˇ  ㄨㄢˇㄕㄤ˙	['㇑', '㇐', '㇐']	A depiction of one line above another, suggesting the idea of rising *above* (contrast 下) | *up*; *upper*; *top* | *rise*; *raise*; *offer*. Other extended meanings include *ascent*; *readiness*; *completion*; *just after*; *go up*; *climb*; *enter*; *end*; *increase*; *improve*; *on*; *beyond*; *first* (half); *emperor*; *raise/bring up* (a matter); *record*; *upward* (bound); *go to the capital*; and *reach*. 	images-large/4e0a-large.gif
木	61		木	mù	tree	tree; wood, lumber; wooden	木頭 樹木 木材	mùtou shùmù mùcái	[sound:mp3/mu4.mp3]	732	ㄇㄨ`	ㄇㄨ`ㄊㄡ˙  ㄕㄨ`ㄇㄨ`  ㄇㄨ`ㄘㄞˊ	['㇐', '㇑', '㇒', '㇏']	A depiction of a large *tree*, the curving branches of which cover the ground beneath | *wood*. 	images-large/6728-large.gif
來	62		来	lái	come	come, coming; return, returning	進來 起來 後來	jìnlái qǐlai hòulái	[sound:mp3/lai2.mp3]	24	ㄌㄞˊ	ㄐㄧㄣ`ㄌㄞˊ  ㄑㄧˇㄌㄞ˙  ㄏㄡ`ㄌㄞˊ	['㇐', '㇑', '㇒', '㇔', '㇒', '㇔', '㇒', '㇏']	"A depiction of a barley plant, emphasizing the rows of pendent fruits of grain concealed in husks (compare 米). 夂 leg/foot pointed downward was added to yield a new character, 麥, meaning ""come"" | plant come from Central Asia. However, the meanings of 麥 and 來 were eventually inverted, so that 麥/麦 now means barley and 來/来 *come* | *since*; *until now*; *future*; *next/the coming* (week etc.) | *cause*; *bring about* (← come about). "	images-large/6765-large.gif
力	63		力	lì	power	power, capability, influence	巧克力 努力 力量	qiǎokèlì nǔlì lìliang	[sound:mp3/li4.mp3]	141	ㄌㄧ`	ㄑㄧㄠˇㄎㄜ`ㄌㄧ`  ㄋㄨˇㄌㄧ`  ㄌㄧ`ㄌㄧㄤ˙	['㇆', '㇓']	A depiction of the rippling muscles of a powerful arm | *power*; *energy* | *strength*; *skill*; *ability*; *labor*; *make efforts*. 	images-large/529b-large.gif
五	64		五	wǔ	five	five; surname	五金	wǔjīn	[sound:mp3/wu3.mp3]	309	ㄨˇ	ㄨˇㄐㄧㄣ 	['㇐', '㇑', '㇕', '㇐']	The relevant oracle bone form of this character shows two crossing lines between two parallel lines. The meaning *five* may be connected with the idea that, when counting to ten on one hand, a person first counts to five, then crosses back the other way to reach ten. 	images-large/4e94-large.gif
學	65		学	xué	study	learning, knowledge; school	學生 大學 學校	xuésheng Dàxué xuéxiào	[sound:mp3/xue2.mp3]	25	ㄒㄩㄝˊ	ㄒㄩㄝˊㄕㄥ˙  ㄉㄚ`ㄒㄩㄝˊ  ㄒㄩㄝˊㄒㄧㄠ`	['㇒', '㇔', '㇒', '㇔', '㇒', '㇑', '㇐', '㇐', '㇕', '㇐', '㇐', '㇔', '㇖', '㇖', '㇚', '㇐']	�� # is 爻 (obtain knowledge) + an element combining a pair of hands and 冖 a cover (| covered building) | covered place of instruction where another is stimulated to obtain knowledge (compare 校). 學 adds 子 child | place where an instructor stimulates pupils to acquire knowledge (compare 敎) | *school* | *study*; *learn*. 	images-large/5b66-large.gif
乙	66		乙	yǐ	second	second; 2nd heavenly stem			[sound:mp3/yi3.mp3]	1422	ㄧˇ		['㇠']	A representation of vapors rising (compare 气) and hitting a blocking element such as a ceiling, or the top of a container. *Second in a series* and *second calendar sign* are borrowed meanings. 乙 appears in dual-element characters such as 軋, 亂 and 札 in the form 乚. 	images-large/4e59-large.gif
京	67		京	jīng	capital	capital city	京劇	Jīngjù	[sound:mp3/jing1.mp3]	1339	ㄐㄧㄥ	ㄐㄧㄥ ㄐㄩ`	['㇔', '㇐', '㇑', '㇕', '㇐', '㇚', '㇒', '㇔']	A depiction of one of a pair of expansive structures on high ground (compare 高) | *high hill* | *metropolis*; *capital* (← large settlement in sunny/bright heights safe from dangers such as floods or surprise attacks). 	images-large/4eac-large.gif
尤	68		尤	yóu	remarkable	especially, particularly	尤其	yóuqí	[sound:mp3/you2.mp3]	880	ㄧㄡˊ	ㄧㄡˊㄑㄧˊ	['㇐', '㇓', '㇟', '㇔']	The relevant oracle bone form of this character combines 又# hand + a vertical, slightly bent line, suggesting a skin eruption | wounded, contracted hand | *differ*; *conspicuous* (← conspicuously different shape of a wounded hand). Also, *criticize* (← be critical of what is perceived as figuratively bent) and *outstanding* (← conspicuous). *Natural(ly)*, *stand to reason*, and *especially/particularly* are borrowed meanings. 	images-large/5c24-large.gif
就	69		就	jiù	at once	just, simply; to come, go to; to approach, near	成就 就是 就算	chéngjiù jiùshì jiùsuàn	[sound:mp3/jiu4.mp3]	26	ㄐㄧㄡ`	ㄔㄥˊㄐㄧㄡ`  ㄐㄧㄡ`ㄕ`  ㄐㄧㄡ`ㄙㄨㄢ`	['㇔', '㇐', '㇑', '㇕', '㇐', '㇚', '㇒', '㇔', '㇐', '㇓', '㇟', '㇔']	As per 尤# (contracted hand) + 京 metropolis | contract the arm in summoning people to a metropolis | *settle*; *take up* | *take/get a job*; *take instruction*; *embark* (upon) (← take up) | *appoint*; *provide service for* | *arrange*. Also, *seat* (a guest) (← settle).  	images-large/5c31-large.gif
入	70		入	rù	enter	enter, come in(to), join	加入 深入 進入	jiārù shēnrù jìnrù	[sound:mp3/ru4.mp3]	230	ㄖㄨ`	ㄐㄧㄚ ㄖㄨ`  ㄕㄣ ㄖㄨ`  ㄐㄧㄣ`ㄖㄨ`	['㇒', '㇝']	The relevant oracle bone form of this character depicts a soft, yielding sack into which goods are placed (compare 襄) | *enter*; *put/allow in*; *let in*; *take in*; *hold/accommodate*; *contain*; *carry/stock* (goods); *go/come in*. *Need/require* is a borrowed meaning. 	images-large/5165-large.gif
六	71		六	liù	six	number six			[sound:mp3/liu4.mp3]	486	ㄌㄧㄡ`		['㇔', '㇐', '㇒', '㇔']	A depiction of a tall mound that curves in stretching at length. *Six* is a borrowed meaning. 	images-large/516d-large.gif
父	72		父	fù	father	father; KangXi radical 88	父親 父母 祖父	fùqīn fùmǔ zǔfù	[sound:mp3/fu4.mp3]	861	ㄈㄨ`	ㄈㄨ`ㄑㄧㄣ   ㄈㄨ`ㄇㄨˇ  ㄗㄨˇㄈㄨ`	['㇒', '㇔', '㇒', '㇏']	The relevant oracle bone form of this character depicts a hand spread over the handle of an ax (compare 兵). *Father* is a borrowed meaning. 	images-large/7236-large.gif
交	73		交	jiāo	mingle	mix; intersect; exchange, communicate; deliver	交通 交流 交友	jiāotōng jiāoliú jiāoyǒu	[sound:mp3/jiao1.mp3]	27	ㄐㄧㄠ	ㄐㄧㄠ ㄊㄨㄥ   ㄐㄧㄠ ㄌㄧㄡˊ  ㄐㄧㄠ ㄧㄡˇ	['㇔', '㇐', '㇒', '㇔', '㇒', '㇏']	A depiction of a standing figure with legs twisted or crossed | *cross*; *intersect*; *exchange*; *come and go* | *mix*; *blend*; *mingle*; *keep company with*; *associate with*; *converse*. 	images-large/4ea4-large.gif
也	74		也	yě	also	also; classical final particle of strong affirmation or identity	也許	yěxǔ	[sound:mp3/ye3.mp3]	28	ㄧㄝˇ	ㄧㄝˇㄒㄩˇ	['㇆', '㇑', '㇟']	"A depiction of a long snake (compare 它). *To be* is a borrowed meaning. Conceptually, 也 suggests the idea ""stretch."" "	images-large/4e5f-large.gif
用	75		用	yòng	utilize	use, employ, apply, operate; use	有用 信用卡 不用	yǒuyòng xìnyòngkǎ bùyòng	[sound:mp3/yong4.mp3]	29	ㄩㄥ`	ㄧㄡˇㄩㄥ`  ㄒㄧㄣ`ㄩㄥ`ㄎㄚˇ  ㄅㄨ`ㄩㄥ`	['㇓', '㇆', '㇐', '㇐', '㇑']	The relevant oracle bone form of this character depicts a stick being run through a rectangular board, piercing a hole | *use*; *action* | *have a need* | *go to the toilet* (← have a need to relieve oneself). 	images-large/7528-large.gif
匕	76		匕	bǐ	ancient spoon	spoon, ladle; knife, dirk			[sound:mp3/bi3.mp3]	3614	ㄅㄧˇ		['㇒', '㇟']	A depiction of a spoon-like eating implement with double, aligned prongs | *spoon* | *dagger*.  Note that many publications offer as the standard form of 匕 the way it appears, for example, in 牝, eliminating the leftward protrusion of the horizontal stroke. 	images-large/5315-large.gif
能	77		能	néng	ability	to be able; can, permitted to; ability	可能 功能 能夠	kěnéng gōngnéng nénggòu	[sound:mp3/neng2.mp3]	30	ㄋㄥˊ	ㄎㄜˇㄋㄥˊ  ㄍㄨㄥ ㄋㄥˊ  ㄋㄥˊㄍㄡ`	['㇜', '㇔', '㇑', '㇆', '㇐', '㇐', '㇒', '㇟', '㇒', '㇟']	A depiction of a bear, a supple and powerful creature | *ability*; *skill*; *able* (← power/ability to accomplish something ← powerful) | *endure* (← power/ability to hold out) | *Noh* (← skill). 	images-large/80fd-large.gif
如	78		如	rú	be like	if, supposing; as if; like, as	如果 比如 不如	rúguǒ bǐrú bùrú	[sound:mp3/ru2.mp3]	31	ㄖㄨˊ	ㄖㄨˊㄍㄨㄛˇ  ㄅㄧˇㄖㄨˊ  ㄅㄨ`ㄖㄨˊ	['㇛', '㇒', '㇐', '㇑', '㇕', '㇐']	As per 女# (supple) + 口 mouth | take a supple (= pliant) attitude toward another person's suggestion. *Equal* and *as (if)* are borrowed meanings | *how/what* (to do). 	images-large/5982-large.gif
士	79		士	shì	soldier	scholar, gentleman; soldier	護士 巴士 博士	hùshi bāshì bóshì	[sound:mp3/shi4.mp3]	330	ㄕ`	ㄏㄨ`ㄕ˙  ㄅㄚ ㄕ`  ㄅㄛˊㄕ`	['㇐', '㇑', '㇐']	A depiction of an erect object formed by small composite materials (compare 且). *Man* and *retainer* are associated meanings (← person standing erect), with *samurai* by extension. 	images-large/58eb-large.gif
寸	80		寸	cùn	Chinese inch	inch; small, tiny; KangXi radical 41	尺寸 分寸	chǐcun fēncun	[sound:mp3/cun4.mp3]	2017	ㄘㄨㄣ`	ㄔˇㄘㄨㄣ˙  ㄈㄣ ㄘㄨㄣ˙	['㇐', '㇚', '㇔']	The relevant bronzeware inscription form is 又 hand + a line, indicating a hand or (thin) finger settled upon another object (such as in taking a person's pulse) | *unit of measurement* (approximately that of a finger). In characters such as 耐 將 寺 尋 and 導, 寸 functions as an action indicator. 	images-large/5bf8-large.gif
寺	81		寺	sì	Buddhist temple	court, office; temple, monastery	寺廟	sìmiào	[sound:mp3/si4.mp3]	2283	ㄙ`	ㄙ`ㄇㄧㄠ`	['㇐', '㇑', '㇐', '㇐', '㇚', '㇔']	The relevant oracle bone form of this character is 止# (stand straight) + 寸 hand/action indicator | stand straight by in attending on a superior, then carry out orders | government office (← place where official functions are carried out). (Buddhist) *temple* is via the name (鴻臚寺) of a reception building for priestly visitors from outside of China. 	images-large/5bfa-large.gif
時	82		时	shí	time	time, season; era, age, period	時候 小時 有時候	shíhou xiǎoshí yǒushíhou	[sound:mp3/shi2.mp3]	32	ㄕˊ	ㄕˊㄏㄡ˙  ㄒㄧㄠˇㄕˊ  ㄧㄡˇㄕˊㄏㄡ˙	['㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐', '㇐', '㇚', '㇔']	As per 寺# (stand straight by) + 日 sun/day | straightforward procession of the sun through the sky | *time*; *hour*; *calendar* (compare 昔 and 昨). 	images-large/65f6-large.gif
文	83		文	wén	literature	literature, culture, writing	英文 華文 中文	Yīngwén Huáwén Zhōngwén	[sound:mp3/wen2.mp3]	33	ㄨㄣˊ	ㄧㄥ ㄨㄣˊ  ㄏㄨㄚˊㄨㄣˊ  ㄓㄨㄥ ㄨㄣˊ	['㇔', '㇐', '㇒', '㇏']	A depiction of a fine, detailed *pattern* covering the surface of curved earthenware | *writing*; *literature* (← detailed work); *decorate*; *character*; *letter*; *sentence* | a *letter/note*. 	images-large/6587-large.gif
水	84		水	shuǐ	water	water, liquid, lotion, juice	水果 開水 汽水	shuǐguǒ kāishuǐ qìshuǐ	[sound:mp3/shui3.mp3]	204	ㄕㄨㄟˇ	ㄕㄨㄟˇㄍㄨㄛˇ  ㄎㄞ ㄕㄨㄟˇ  ㄑㄧ`ㄕㄨㄟˇ	['㇚', '㇇', '㇒', '㇏']	A depiction of a long, winding flow of *water*. 	images-large/6c34-large.gif
兄	85		兄	xiōng	elder brother	elder brother	兄弟 弟兄	xiōngdì dìxiong	[sound:mp3/xiong1.mp3]	399	ㄒㄩㄥ	ㄒㄩㄥ ㄉㄧ`  ㄉㄧ`ㄒㄩㄥ˙	['㇑', '㇕', '㇐', '㇓', '㇟']	The relevant oracle bone form of this character combines 儿 person + a large head | large-headed person extending the arms in prayer. *Elder brother* is a borrowed meaning. Note how the original connection with prayer is preserved in 呪 and in 祝. 	images-large/5144-large.gif
允	86		允	yǔn	consent	to grant, to allow, to consent	允許	yǔnxǔ	[sound:mp3/yun3.mp3]	1947	ㄩㄣˇ	ㄩㄣˇㄒㄩˇ	['㇜', '㇔', '㇓', '㇟']	The relevant seal inscription form shows a human figure running in chasing or being chased (compare 夭). *Consent*; *permit*, *sincere* and *peaceful* are borrowed meanings. 	images-large/5141-large.gif
兌	87		兑	duì	convert	cash; exchange, barter; weight	兌現	duìxiàn	[sound:mp3/dui4.mp3]	3325	ㄉㄨㄟ`	ㄉㄨㄟ`ㄒㄧㄢ`	['㇒', '㇏', '㇑', '㇕', '㇐', '㇓', '㇟']	八# split right and left + 兄 (extend the arms) | extend the arms in stripping away a captive's clothes and *exchange* them for prisoner's garb. 	images-large/5151-large.gif
說	88		说	shuō	speak	speak, say, talk; scold, upbraid	說話 小說 聽說	shuōhuà xiǎoshuō tīngshuō	[sound:mp3/shuo1.mp3]	34	ㄕㄨㄛ	ㄕㄨㄛ ㄏㄨㄚ`  ㄒㄧㄠˇㄕㄨㄛ   ㄊㄧㄥ ㄕㄨㄛ 	['㇔', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇒', '㇏', '㇑', '㇕', '㇐', '㇓', '㇟']		images-large/8bf4-large.gif
沒	89		没	méi	not have	not, have not, none; to drown, sink	沒關係 沒有 沒什麼	méiguānxi méiyǒu méishénme	[sound:mp3/mei2.mp3]	35	ㄇㄟˊ	ㄇㄟˊㄍㄨㄢ ㄒㄧ˙  ㄇㄟˊㄧㄡˇ  ㄇㄟˊㄕㄣˊㄇㄜ˙	['㇔', '㇔', '㇀', '㇒', '㇆', '㇇', '㇏']		images-large/6ca1-large.gif
它	90		它	tā	it	it; other	它們	tāmen	[sound:mp3/ta1.mp3]	243	ㄊㄚ	ㄊㄚ ㄇㄣ˙	['㇔', '㇔', '㇖', '㇒', '㇟']	A depiction of a long *snake* (compare 也) | stretch; be elongated. *Other* is a borrowed meaning. 	images-large/5b83-large.gif
他	91		他	tā	he	other, another; he, she, it	他們 吉他 其他	tāmen jítā qítā	[sound:mp3/ta1.mp3]	36	ㄊㄚ	ㄊㄚ ㄇㄣ˙  ㄐㄧˊㄊㄚ   ㄑㄧˊㄊㄚ 	['㇒', '㇑', '㇆', '㇑', '㇟']	A variant form of 佗, and thus the meanings *another* person | *other*; *separate*. 	images-large/4ed6-large.gif
看	92		看	kàn	look at	look, see; examine, scrutinize	好看 看病 看見	hǎokàn kànbìng kànjiàn	[sound:mp3/kan4.mp3]	37	ㄎㄢ`	ㄏㄠˇㄎㄢ`  ㄎㄢ`ㄅㄧㄥ`  ㄎㄢ`ㄐㄧㄢ`	['㇒', '㇐', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐']	手 hand + 目, here an abbreviated form# of 見 fix sight upon | hand affixed above the eye to shade it and improve focus | *see*; *watch*. 	images-large/770b-large.gif
那	93		那	nà	that	that, that one, those	那裡 那兒 那些	nàli nàr nàxiē	[sound:mp3/na4.mp3]	38	ㄋㄚ`	ㄋㄚ`ㄌㄧ˙  ㄋㄚ`ㄦ˙  ㄋㄚ`ㄒㄧㄝ 	['㇓', '㇆', '㇐', '㇐', '㇌', '㇑']	"The left-hand element# is a variant of 冄 as described in 冉 (supple). 那 adds 邑 (village/settlement), but the original form of the character had a different element than 邑. The identity of this original form and the original meaning of the character are now obscure, although the meaning was likely to have been connected with the concept ""supple"" as this concept is active in derivative characters such as 娜, 挪 and 梛. *How*, *which*, *what*, and *that* are all borrowed meanings. 那 is used in transliterations of terms such as 刹那 (Sanskrit: ksana), an instant. "	images-large/90a3-large.gif
門	94		门	mén	gate	gate, door, entrance, opening	門口 部門 出門	ménkǒu bùmén chūmén	[sound:mp3/men2.mp3]	400	ㄇㄣˊ	ㄇㄣˊㄎㄡˇ  ㄅㄨ`ㄇㄣˊ  ㄔㄨ ㄇㄣˊ	['㇑', '㇕', '㇐', '㇐', '㇑', '㇆', '㇐', '㇐']	A depiction of a curving, double-doored *gate*, the doors adhering tightly in concealing what lies behind it. 	images-large/95e8-large.gif
問	95		问	wèn	ask	ask (about), inquire after	請問 問題 訪問	qǐngwèn wèntí fǎngwèn	[sound:mp3/wen4.mp3]	39	ㄨㄣ`	ㄑㄧㄥˇㄨㄣ`  ㄨㄣ`ㄊㄧˊ  ㄈㄤˇㄨㄣ`	['㇑', '㇕', '㇐', '㇐', '㇑', '㇆', '㇐', '㇐', '㇑', '㇕', '㇐']	As per 門# (concealed) + 口 mouth | demand (guarded) information | *ask*; *inquire*; *call into question*; *accuse* | *visit* (← visit to inquire). 	images-large/95ee-large.gif
三	96		三	sān	three	three	三明治 三角形 再三	sānmíngzhì sānjiǎoxíng zàisān	[sound:mp3/san1.mp3]	111	ㄙㄢ	ㄙㄢ ㄇㄧㄥˊㄓ`  ㄙㄢ ㄐㄧㄠˇㄒㄧㄥˊ  ㄗㄞ`ㄙㄢ 	['㇐', '㇐', '㇐']	"Three slender lines = *three*. In Chinese, ""three"" often suggests a group, or many; compare this sense in the cognate terms 參 and 森. "	images-large/4e09-large.gif
生	97		生	shēng	life	life, living, lifetime; birth	學生 先生 生日	xuésheng Xiānsheng shēngrì	[sound:mp3/sheng1.mp3]	40	ㄕㄥ	ㄒㄩㄝˊㄕㄥ˙  ㄒㄧㄢ ㄕㄥ˙  ㄕㄥ ㄖ`	['㇒', '㇐', '㇐', '㇑', '㇐']	The relevant seal inscription form is an abbreviated form# of 艸 grass/plant + 土 earth | fresh, slender grass shoots | *birth*; *life* | *new*; *fresh*; *sprout*; *raw*; *alive*; *by nature*; *youth*; *unripe*; *pure*; *bear fruit*; *spare a life*; *bring back to life*; *make use of*; *make a living*; *be/remain valid*; *arrange flowers/plants*; *grow*; *undiluted*. 	images-large/751f-large.gif
提	98		提	tí	bring up	hold in hand; lift in hand	提到 提高 提供	tídào tígāo tígōng	[sound:mp3/ti2.mp3]	41	ㄊㄧˊ	ㄊㄧˊㄉㄠ`  ㄊㄧˊㄍㄠ   ㄊㄧˊㄍㄨㄥ 	['㇐', '㇚', '㇀', '㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐', '㇒', '㇏']	As per 是# (straight) + 手 hand/action indicator | hold straight out/down | *carry*; *present*; *offer*; *submit* | *hang* (from). 	images-large/63d0-large.gif
下	99		下	xià	below	under, underneath, below; down; inferior; bring down	下午 下課 下面	xiàwǔ xiàkè xiàmiàn	[sound:mp3/xia4.mp3]	42	ㄒㄧㄚ`	ㄒㄧㄚ`ㄨˇ  ㄒㄧㄚ`ㄎㄜ`  ㄒㄧㄚ`ㄇㄧㄢ`	['㇐', '㇑', '㇔']	"The relevant oracle bone form of this character is a depiction of one line below another, suggesting the idea of *under* (contrast 上) | *low*; *lower*; *below*; *down*; *subordinate*; *descend*. Extended meanings from ""down"" or ""below"" include *come/go down*; *fall*; *drop*; *hang* (down/from); *hand down*; *younger*; *have diarrhea*; *abort* (a fetus); *step/move back*; *withdraw*; *leave the capital*; *retire* and *surrender*. By further extension are *carry*, *remove* and *clear a table* (← take down from a table); *grate* (← grated shavings that fall below); *give* and *do someone the favor of *(← hand ← hand down); *obtain* (← be handed/given); and *latter half* (← bottom/lower of two halves). "	images-large/4e0b-large.gif
過	100		过	guò	cross	pass, pass through, go across	難過 過年 經過	nánguò guònián jīngguò	[sound:mp3/guo4.mp3]	43	ㄍㄨㄛ`	ㄋㄢˊㄍㄨㄛ`  ㄍㄨㄛ`ㄋㄧㄢˊ  ㄐㄧㄥ ㄍㄨㄛ`	['㇑', '㇕', '㇕', '㇑', '㇆', '㇑', '㇕', '㇐', '㇔', '㇕', '㇝']	咼# (variant of 冎 round or rounded cavity) + 辵 movement/action indicator | *passage* through a cavity | *passing time* | *elapse*; *exceed*; *go past* (← surplus energy) | *be over* (← past); *err*; *mistake*; *fault* (← go/take too far). 	images-large/8fc7-large.gif
員	101		员	yuán	employee	member; personnel, staff member	服務員 店員 球員	fúwùyuán diànyuán qiúyuán	[sound:mp3/yuan2.mp3]	345	ㄩㄢˊ	ㄈㄨˊㄨ`ㄩㄢˊ  ㄉㄧㄢ`ㄩㄢˊ  ㄑㄧㄡˊㄩㄢˊ	['㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	"The relevant oracle bone form of this character combines 囗# circular enclosure + a tripod kettle | (the *circumference* of a) *round*, tripod kettle | *number* (← counter for round objects ← round objects) | *member* (← number of people; compare the expression ""per capita,"" along with the character 頁). "	images-large/5458-large.gif
