Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
雇	1164		雇	gù	hire	employ, to hire			[sound:mp3/gu4.mp3]	3209	ㄍㄨ`		['㇔', '㇕', '㇐', '㇓', '㇒', '㇑', '㇔', '㇐', '㇐', '㇐', '㇑', '㇐']	戸# door + 隹 short, squat bird | caged bird | *employ*; *hire* (← workers likened to caged birds). *Pay* is an extended meaning (← provide funds to keep the services of an employee). 	images-large/96c7-large.gif
顧	1165		顾	gù	look back	look back; look at; look after	顧客 照顧 不顧	gùkè zhàogu bùgù	[sound:mp3/gu4.mp3]	998	ㄍㄨ`	ㄍㄨ`ㄎㄜ`  ㄓㄠ`ㄍㄨ˙  ㄅㄨ`ㄍㄨ`	['㇔', '㇕', '㇐', '㇓', '㇒', '㇑', '㇔', '㇐', '㇐', '㇐', '㇑', '㇐', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	As per 雇# (caged bird) + 頁 head | caged bird looking about nervously (compare 瞿) | *look back* | *consider*; *review*; *reflect on*; *take note of*; *pay attention to*. 	images-large/987e-large.gif
臉	1166		脸	liǎn	face	face; cheek; reputation	丟臉 臉色 翻臉	diūliǎn liǎnsè fānliǎn	[sound:mp3/lian3.mp3]	999	ㄌㄧㄢˇ	ㄉㄧㄡ ㄌㄧㄢˇ  ㄌㄧㄢˇㄙㄜ`  ㄈㄢ ㄌㄧㄢˇ	['㇓', '㇆', '㇐', '㇐', '㇒', '㇏', '㇐', '㇑', '㇕', '㇐', '㇑', '㇕', '㇐', '㇓', '㇏', '㇓', '㇏']	As per 僉# (assemble) + 肉 flesh | assemble shredded meat on a platter. The *area between the  eyes and cheekbones* and *the face* are borrowed meanings. 	images-large/8138-large.gif
逢	1167		逢	féng	chance upon	come upon, happen meet; flatter			[sound:mp3/feng2.mp3]	1000	ㄈㄥˊ		['㇒', '㇇', '㇏', '㇐', '㇐', '㇐', '㇑', '㇔', '㇕', '㇝']	夆# meet + 辵 movement (for emphasis/clarification) | *meet*. 	images-large/9022-large.gif
島	1168		岛	dǎo	island	island	半島 島嶼 群島	bàndǎo dǎoyǔ qúndǎo	[sound:mp3/dao3.mp3]	1001	ㄉㄠˇ	ㄅㄢ`ㄉㄠˇ  ㄉㄠˇㄩˇ  ㄑㄩㄣˊㄉㄠˇ		An abbreviated form# of 鳥 (curve upward) + 山 mountain | mountain-like projection rising from the sea | *island*. 嶋 is a variant form often used in surnames. 	images-large/5c9b-large.gif
獎	1169		奖	jiǎng	award	prize, reward; give award to	獎學金 得獎 獎金	jiǎngxuéjīn déjiǎng jiǎngjīn	[sound:mp3/jiang3.mp3]	1002	ㄐㄧㄤˇ	ㄐㄧㄤˇㄒㄩㄝˊㄐㄧㄣ   ㄉㄜˊㄐㄧㄤˇ  ㄐㄧㄤˇㄐㄧㄣ 	['㇗', '㇑', '㇐', '㇓', '㇒', '㇇', '㇔', '㇔', '㇐', '㇚', '㇔', '㇐', '㇓', '㇏', '㇔']	As per 將# (prod forward) + 大 stand outstretched | extend the arms in prodding others forward | *encourage*; *promote*. 	images-large/5956-large.gif
游	1170		游	yóu	go swimming	to swim; float, drift; wander, roam	游泳 游泳池 上游	yóuyǒng yóuyǒngchí shàngyóu	[sound:mp3/you2.mp3]	1003	ㄧㄡˊ	ㄧㄡˊㄩㄥˇ  ㄧㄡˊㄩㄥˇㄔˊ  ㄕㄤ`ㄧㄡˊ		As per 斿# (float) + 水 water | *float*; *drift*; *swim*. *Roam* and *wander* are borrowed meanings via 遊 | *enjoy* (← enjoy a rambling life). 游 was devised to replace 斿 after 斿 acquired its borrowed meanings. 	images-large/6e38-large.gif
批	1171		批	pī	criticize	comment, criticize; wholesale	批評 批判 批發	pīpíng pīpàn pīfā	[sound:mp3/pi1.mp3]	1004	ㄆㄧ	ㄆㄧ ㄆㄧㄥˊ  ㄆㄧ ㄆㄢ`  ㄆㄧ ㄈㄚ 	['㇐', '㇚', '㇀', '㇐', '㇙', '㇒', '㇟']	比# compare + 手 hand/action indicator | *critique*; *criticize* (← critique/criticize by comparing). 	images-large/6279-large.gif
略	1172		略	lüè	abbreviation	approximately, roughly; outline	策略 忽略 侵略	cèlüè hūlüè qīnlüè	[sound:mp3/luue4.mp3]	1005	undefined`	ㄘㄜ`undefined`  ㄏㄨ undefined`  ㄑㄧㄣ undefined`	['㇑', '㇕', '㇐', '㇑', '㇐', '㇒', '㇇', '㇏', '㇑', '㇕', '㇐']	各 here an abbreviated form# of 洛 (connect) + 田 field | paths connecting fields | *manage* | *abbreviate* (← make shortcuts) | *consider*; *outline*; *broadly*; *tactics* (← tactically effective shortcuts). *Plunder* is a borrowed meaning. 	images-large/7565-large.gif
短	1173		短	duǎn	short	short; brief; deficient, lacking	縮短 短缺 短暫	suōduǎn duǎnquē duǎnzàn	[sound:mp3/duan3.mp3]	1006	ㄉㄨㄢˇ	ㄙㄨㄛ ㄉㄨㄢˇ  ㄉㄨㄢˇㄑㄩㄝ   ㄉㄨㄢˇㄗㄢ`	['㇒', '㇐', '㇐', '㇓', '㇏', '㇐', '㇑', '㇕', '㇐', '㇔', '㇒', '㇐']	As per 豆# (a stand) + 矢 arrow | *short*, cylindrical stand for (long) arrows. 	images-large/77ed-large.gif
幻	1174		幻	huàn	unreal	illusion, fantasy, mirage	幻想 幻象 科幻	huànxiǎng huànxiàng kēhuàn	[sound:mp3/huan4.mp3]	1007	ㄏㄨㄢ`	ㄏㄨㄢ`ㄒㄧㄤˇ  ㄏㄨㄢ`ㄒㄧㄤ`  ㄎㄜ ㄏㄨㄢ`		The relevant seal inscription form is a reverse image of the seal inscription form of 予 (stretch), suggesting the faintly visible tip of a thread stretching/protruding beyond a surface. The present style combines 幺 slender thread with an element signifying a slight wavering. The common reference is to a faintly wavering, slender thread | *illusion*; *vision*; *specter*; *phantom* | *confusion*. 	images-large/5e7b-large.gif
